id,issue,evidence,root_cause,url_or_file,business_impact,search_impact,priority,confidence,effort,dependency,recommendation,status,owner_decision_required,success_metric
1,Domain not indexed by Google,"site:atlasjourneys.world returns zero results (2026-07-11)",Search Console likely never set up; sitemap likely never submitted,site-wide,High - zero organic discovery possible,Critical,P0,High,Low,None,Verify domain in Search Console and Bing Webmaster Tools; submit sitemap.xml,Not started,Yes - requires Andrew's Google account,site:atlasjourneys.world returns indexed pages within 30 days
2,Zero third-party trust signals (no GBP, no reviews platform, no verified social),"Targeted search found no Atlas presence on Google Maps, TripAdvisor, or social media",Business is new; no listings created yet,external,High - first-time visitors have nothing to corroborate legitimacy before WhatsApp contact,High,P0,High,Medium,Owner decision on GBP + marketplace listing,Create Google Business Profile as service-area business; list on one guide marketplace,Not started,Yes,GBP live and verified; 3+ external reviews within 60 days
3,No conversion/analytics tracking beyond Vercel Web Analytics,"Grep for GA4/GTM/Meta Pixel patterns returned zero matches across all HTML",Never implemented,site-wide,High - cannot measure which page/channel produces real inquiries,Medium,P0,High,Low,None,Add GA4 + WhatsApp click event tracking at minimum (see 12_ANALYTICS_AND_LEAD_MEASUREMENT.md),Not started,No - can implement directly,WhatsApp click events visible in GA4 within 1 week of implementation
4,Homepage claims Peru & Brazil scope but only Lima pages exist,"Title/meta/H1 say Peru & Brazil; only 3 Lima service pages exist in repo",Aspirational copy written ahead of real content,index.html,Medium - risk of visitor bounce and mismatched expectations,Medium,P1,High,Low,Owner decision on scope,Narrow homepage claims to Lima/Peru until Rio content is real,Not started,Yes,Title/H1 match actual service coverage
5,Schema inconsistent across service pages (only private-guide-lima has FAQPage/BreadcrumbList),Direct source inspection 2026-07-11,FAQPage/Breadcrumb schema only added during most recent single-page rewrite,"lima-airport-transfer/index.html, lima-bachelor-party/index.html",Low-Medium - missed rich-result eligibility,Medium,P1,High,Low,None,Extend the same @graph pattern (Organization + Service + Breadcrumb + FAQPage) to both remaining service pages,Not started,No,Schema validates and matches pattern across all 3 service pages
6,lima-bachelor-party title exceeds recommended length (82 chars),Direct source inspection 2026-07-11,Not trimmed during creation,lima-bachelor-party/index.html,Low - truncation in search results,Low,P2,High,Low,None,Shorten to ~55-60 chars matching other service pages,Not started,No,Title under 60 chars
7,No email contact option - WhatsApp only,Grep confirmed no forms; OWNER_INPUT_REQUIRED.md flags this,Design decision from earlier build,site-wide,Medium - some visitors avoid WhatsApp-first contact,Low,P1,High,Low,Owner must provide email address,Add a secondary contact email once provided,Not started,Yes,Email visible in footer/contact section
8,No privacy policy or terms page,Grep confirmed no /privacy or /terms routes,Never built,site-wide,Medium - blocks most ad-platform lead campaigns; trust gap,None,P1,High,Medium,Owner input on policy language,Draft and publish before any paid campaign activation,Not started,Yes,Privacy page live and linked in footer
9,No certifications/licenses displayed even if they exist,OWNER_INPUT_REQUIRED.md - unconfirmed with Fidel,Never confirmed,site-wide,Medium-High - competitor benchmark (Tour Guides Peru) shows this is a major trust differentiator,Low,P1,Medium,Low,Owner must confirm what Fidel actually holds,Add MINCETUR or equivalent credential only if verified,Not started,Yes,Verified credential displayed or explicitly declined by owner
10,No lastmod dates in sitemap.xml,Direct file inspection,Never added,sitemap.xml,Low,Low,P3,High,Low,None,Add lastmod per URL,Not started,No,Sitemap includes lastmod
11,Orphaned unused images in public/images (dest-lima.jpg watermarked/ dest-rio.jpg unused),Grep confirmed zero references in any HTML,Leftover from earlier design pass,public/images/,Low,Low,P4,High,Low,None,Remove or replace once real content exists,Not started,No,Repo has no unreferenced placeholder images
12,No security headers configured in vercel.json,Direct file inspection,Never added,vercel.json,Low,None,P3,High,Low,None,Add baseline headers (X-Content-Type-Options, Referrer-Policy),Not started,No,Headers present in response
13,Single-operator capacity not measured against any growth channel plan,No booking/response-time data exists,Business is new; no CRM,Business-wide,High - risk of growth outpacing delivery capacity,None,P0,Medium,Low,Owner input,Confirm realistic weekly inquiry capacity before scaling any channel,Not started,Yes,Documented capacity ceiling used to cap campaign volume
