event_name,trigger,parameters,platform,funnel_stage,business_meaning,privacy_notes,implementation_status,test_method
whatsapp_click,User clicks any WhatsApp CTA button,"cta (which button/section), page",Vercel Analytics (already implemented via va()),Bottom - primary conversion action,Primary lead signal - closest proxy to a real inquiry currently available,No PII captured - button location only,Implemented in code; confirm Vercel Web Analytics is enabled in project dashboard (owner check needed),Click each WA button locally and confirm via Vercel Analytics dashboard after next deploy
page_view,Any page load,page path,Recommend adding GA4,All stages,Baseline traffic and landing-page performance,Standard page-level data only,Not implemented,Add GA4 tag, verify via GA4 Realtime report
service_page_view,Load of any of the 3 service pages specifically,service name,Recommend adding as a GA4 custom event or via page path segmentation,Middle,Which service generates the most interest,None,Not implemented,Segment in GA4 by page path
faq_expand,User opens a details/summary FAQ item,question text or index,Recommend adding lightweight event,Middle - objection handling,Which objections visitors care about most,None,Not implemented,"Add onclick/ontoggle handler, verify in GA4 or Vercel Analytics"
outbound_related_link_click,User clicks a related-service internal link,target page,Recommend adding,Middle,Cross-service interest signal,None,Not implemented,Verify via GA4 events or Vercel Analytics
whatsapp_message_sent,User actually sends the pre-filled WhatsApp message (not just opens the app),n/a,Not technically measurable from the website - WhatsApp does not expose this to external sites,Bottom,"True conversion signal, currently unmeasurable from the site side",N/A,Not implementable client-side,"Can only be approximated by Fidel manually logging inbound messages against traffic spikes, or WhatsApp Business API if adopted later"
qualified_inquiry,Fidel manually determines a WhatsApp conversation is a real, qualified inquiry,"dates, group size, service, source if known",Manual log (spreadsheet or lightweight CRM),Bottom - real business conversion,The actual metric that matters most,Contains customer PII - must be stored securely and consensually,Not implemented - process gap, not a tech gap,Weekly count reconciled against WhatsApp click volume
booking_won,Fidel confirms a booking,"estimated value, service, source",Manual log,Bottom - true business outcome,Revenue-driving metric; required for cost-per-booking calculation,Contains customer PII,Not implemented,Weekly reconciliation in scorecard
booking_lost,Inquiry did not convert,reason if known,Manual log,Bottom,Identifies drop-off reasons (price, timing, no response, etc.),Contains customer PII,Not implemented,Weekly reconciliation
review_submitted,Client leaves a Google/marketplace review,platform,Manual tracking until GBP exists,Post-purchase,Reputation growth signal,Public data once posted,Not implemented - depends on GBP setup,Track review count weekly
